,Year,Electricity,Short tons,Y3,X1,Workers,Heat content of coal,Heat content of oil,Head content of gas,F1,F2,Phase I
6155,86,5673741000,56669.87,19584.71 2,49033865.4,263,5.57E+13,85159200000,0,29757.42,11.014333,0
6178,86,4452831000,12550.92,15055.47 1,33183913.57,121,4.32E+13,34444200000,0,6623.1,3.512679,0
6193,86,6361846000,24009.24,26709.34 1,93443563.3,155,6.32E+13,0,3.90E+11,13738.61,0,0
6248,86,3567352000,13354.38,24696.10 2,3941933.085,117,3.80E+13,75671757000,0,7631.3,6.629438,0
6264,86,8989569000,42274.79,25604.26 3,18492092.44,248,8.34E+13,1.68E+11,0,22270.13,11.654355,0
8042,86,14200705000,91654.06,55941.96 2,73195441.63,183,1.28E+14,93141846000,0,48306.55,4.762955,0
8102,86,13337961000,378825.45,64714.41 4,87205763.04,363,1.33E+14,1.54E+11,0,199123.74,13.211246,0
8226,86,2745102000,31543.24,8239.86 1,74560685.68,157,2.71E+13,2853228000,1.65E+11,16561.68,0.074421,0
,,,,,,,,,,,,
3,87,8753773000,54438.45,26716.02 3,55113815.03,459,8.49E+13,99518819400,8.17E+11,28701.02,6.842282,0
8,87,7008390000,64379.53,22128.42 3,37121307.09,538,6.94E+13,1.73E+11,0,33865.36,8.871003,0
470,87,3144349000,10143.26,14633.28 1,68173618.73,109,3.28E+13,57767740800,10198000000,5794.5,1.473539,0
602,87,3644755000,20755.94,11272.88 2,25941366.23,124,3.67E+13,2.43E+11,0,10965.75,9.930761,0
641,87,5317230000,129016.6,24130.20 2,64139425.08,237,5.59E+13,45456600000,8.26E+11,67883.1,5.291345,0
708,87,4958818000,70770.98,22314.79 1,84153938.63,314,5.15E+13,53113187400,0,37225.18,2.708931,0
709,87,9872438000,96458.89,42580.40 3,519876.088,503,9.58E+13,68972400000,0,50765.33,8.856119,0
728,87,7062849000,115867.6,22532.56 2,87467240.65,468,7.15E+13,81732000000,0,60954.94,4.167585,0
856,87,3316843000,22285.68,14022.33 1,86222045.88,152,3.29E+13,32580021600,0,11734.67,1.875413,0
861,87,2960853000,109730.14,25226.40 2,19689955.67,290,3.21E+13,67170314400,0,57748.65,3.631753,0
862,87,364343500,9889.24,1819.16 8,8502488.781,101,3.85E+12,20826754200,0,5207.94,1.280044,0
863,87,570013400,13837.12,2096.27 6,8407919.361,92,6.19E+12,25663923600,0,7271.81,1.107387,0
864,87,1274117500,28956.47,4297.24,133731115.8,147,1.26E+13,2.45E+11,0,15227.66,25.775028,0
876,87,3017451000,106755.12,27405.01 2,70377329.25,324,3.44E+13,0,36226800000,56223.22,0,0
879,87,5370546000,24532.94,26507.61 5,68167949.6,401,5.94E+13,0,1.24E+11,14035.8,0,0
887,87,4240759000,71632.71,14516.18 3,64316426.52,332,4.52E+13,42211768200,0,37704.24,2.933682,0
889,87,9819826400,247719.32,62417.93 3,47039503.09,267,9.89E+13,1.15E+11,0,130291.19,5.804851,0
983,87,10027206000,266830.81,66171.65,342135211.7,393,9.76E+13,6854400000,0,140453.39,0.535832,0
988,87,2969899000,49498.23,16876.30 3,32026134.98,332,2.87E+13,2.11E+11,0,26003.1,23.982966,0
991,87,596977000,13789.66,2232.26 1,12431223.34,96,6.69E+12,57796200000,0,7252.94,4.420617,0
994,87,9170839000,84701.89,29029.12 5,48416489.58,327,9.59E+13,1.57E+11,0,91402.3,12.011577,0
1004,87,176746150,4532.68,1119.41 6,5722915.816,69,2.18E+12,20714400000,0,2384.01,1.607497,0
1008,87,1990639850,49756.29,10233.18 1,45787229.23,164,2.15E+13,1.74E+11,0,26181.56,13.529768,0
1012,87,1387121420,38574.99,7306.81 1,3454103.207,71,1.45E+13,4057200000,17723200000,20302.24,0.208379,0
1047,87,1059758000,5594.51,7709.98 9,4338999.857,53,1.21E+13,28224000000,0,3087.32,3.572216,0
1250,87,1300658000,5628.83,5189.64 1,17404491.53,135,1.51E+13,0,5.24E+11,6191.47,0,0
1355,87,3537584000,69339.9,12716.54,129553651.7,142,3.75E+13,51744000000,0,36470.11,5.23925,0
1356,87,8293951000,90410.77,29652.29 3,94290417.64,232,8.54E+13,1.62E+11,0,47514.84,16.432194,0
1357,87,1045012000,24191.69,5445.05 7,2801500.675,107,1.22E+13,13524000000,0,12793.55,1.36935,0
1364,87,6879721000,20286.18,27616.50 3,44903365.9,567,7.09E+13,1.92E+11,1.25E+11,102898.03,11.681147,0
1570,87,538743000,4414.19,1845.87 5,9801792.652,65,5.75E+12,27833400000,0,2305.94,8.674531,0
1606,87,1134652000,10951.46,4550.76 3,8462580.455,68,1.10E+13,5216013600,0,5749.04,0.308104,0
1695,87,2202227000,14133.68,6758.43 1,50545575.86,185,2.18E+13,54293400000,0,7421.22,6.921169,0
1745,87,3977766000,22514.11,11365.06,358829712.1,327,3.91E+13,89756612400,0,11811.54,5.934344,0
1943,87,45399500,704.23,243.91 4,3917484.242,37,6.84E+11,4116000000,0,470.11,0.520948,0
